VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD
이케아 동부산점,부산,기장군,4.0,96.66666666666669,4.481481481481482,0.3703703703703703,1.3703703703703705,4.296296296296297,동부산관광3로 17,,129.2104793,35.19079654
영일대해수욕장,경북,포항시,1.0,57.5,4.416666666666667,0.4166666666666667,1.3833333333333333,4.383333333333334,경상북도 포항시 북구 해안로 82,경북 포항시 북구 두호동 685-1,129.378187,36.05506957
휴휴암,강원,양양군,2.0,40.0,4.333333333333333,0.1333333333333333,1.8666666666666667,4.2,강원 양양군 현남면 광진2길 3-16,강원 양양군 현남면 광진리 1,128.7676497,37.96122123
강릉대도호부 관아,강원,강릉시,2.0,78.0,3.8,0.2,1.6,3.6,,강원 강릉시 명주동,128.8919746,37.75258263
하평해변,강원,강릉시,1.0,50.0,4.0,0.1111111111111111,1.6666666666666667,4.0,,강원 강릉시 사천면 사천진리,128.870395,37.8458398
센텀시티 스파랜드,부산,해운대구,6.0,207.69230769230768,4.6923076923076925,0.1538461538461538,1.3076923076923077,4.230769230769231,부산 해운대구 센텀남대로 35,부산 해운대구 우동 1495,129.1290782,35.16863841
대왕암공원 출렁다리,울산,동구,1.0,57.69230769230769,4.769230769230769,0.0769230769230769,1.0,4.230769230769231,,울산 동구 일산동 905,129.4375145,35.4929316
첨성대,경북,경주시,2.0,40.89473684210526,4.394736842105263,0.7,1.2263157894736842,4.326315789473684,,경북 경주시 인왕동 910-30,129.2190202,35.83471805
김광석다시그리기길,대구,중구,4.0,46.36363636363637,4.090909090909091,0.0909090909090909,1.2727272727272727,3.727272727272727,,대구 중구 대봉동 6-11,128.6069534,35.86028512
해운대블루라인파크 송정정거장,부산,해운대구,1.0,60.0,4.153846153846154,0.0769230769230769,1.4615384615384617,3.923076923076923,부산광역시 해운대구 송정중앙로8번길 60,부산 해운대구 송정동 299-20,129.2000744,35.18108087
오대산월정사 전나무숲길,강원,평창군,1.0,53.333333333333336,4.666666666666667,0.2222222222222222,1.6666666666666667,4.444444444444445,,강원 평창군 진부면 동산리,128.5958847,37.72843965
장생포고래생태체험관,울산,남구,13.0,64.28571428571429,4.428571428571429,0.1428571428571428,2.571428571428572,4.285714285714286,울산 남구 장생포고래로 248,울산 남구 매암동 139-29,129.3821587,35.502259
경포해수욕장,강원,강릉시,1.0,65.6842105263158,4.515789473684211,0.5263157894736842,1.4421052631578948,4.421052631578948,강원 강릉시 창해로 514,강원 강릉시 강문동 산 1,128.9102102,37.80340551
경주문무대왕릉,경북,경주시,2.0,47.142857142857146,4.071428571428571,0.3571428571428571,1.1428571428571428,4.071428571428571,,경북 경주시 문무대왕면 봉길리 30-1,129.4868767,35.73826159
속초해수욕장,강원,속초시,1.0,58.03278688524591,4.319672131147541,0.4590163934426229,1.286885245901639,4.295081967213115,강원 속초시 해오름로 186,강원 속초시 조양동 1464-7,128.6040985,38.19005289
통도사,경남,양산시,2.0,78.46153846153847,4.615384615384615,0.7692307692307693,1.5384615384615383,4.307692307692308,경남 양산시 하북면 통도사로 108,경남 양산시 하북면 지산리 583,129.0646834,35.48828455
환호공원 스페이스워크,경북,포항시,6.0,46.0,4.6,0.0,1.4666666666666666,4.2,,경북 포항시 북구 환호동 산 57,129.3902955,36.06565843
불국사,경북,경주시,2.0,63.92857142857143,4.5,0.5714285714285714,1.380952380952381,4.345238095238095,경북 경주시 불국로 385,경북 경주시 진현동 15-1,129.3318426,35.78991466
홈플러스 안동점,경북,안동시,4.0,36.0,3.4,0.0,2.0,3.4,경북 안동시 경동로 656,경북 안동시 운흥동 247-28,128.7295626,36.56253957
설악해변,강원,양양군,1.0,83.33333333333333,4.777777777777778,0.2222222222222222,1.8888888888888888,4.777777777777778,강원 양양군 강현면 뒷나루2길 5-8,강원 양양군 강현면 전진리 66-6,128.6233025,38.12998175
F1963,부산,수영구,3.0,68.57142857142857,4.428571428571429,0.2857142857142857,0.4285714285714285,4.285714285714286,부산 수영구 구락로123번길 20,부산 수영구 망미동 475-1,129.1149385,35.17692806
월영교,경북,안동시,7.0,50.48780487804878,4.585365853658536,0.3902439024390244,0.975609756097561,4.463414634146342,경북 안동시 석주로 203,경북 안동시 상아동 569,128.7609771,36.57664525
경주루지월드,경북,경주시,5.0,72.0,4.8,0.0,2.2,5.0,경북 경주시 천북남로 16,경북 경주시 신평동 355,129.2891583,35.84447287
천마총,경북,경주시,2.0,40.0,3.7916666666666665,0.2916666666666667,1.0416666666666667,3.7083333333333335,경북 경주시 계림로 9,경북 경주시 황남동 262,129.2105594,35.8384566
강릉중앙시장,강원,강릉시,4.0,52.17391304347826,3.978260869565217,0.4782608695652174,1.1956521739130437,3.9565217391304346,강원 강릉시 금성로 21,강원 강릉시 성남동 50,128.8986238,37.75402512
보문호,경북,경주시,1.0,52.0,4.2,0.5333333333333333,1.6666666666666667,4.133333333333334,,경북 경주시 천군동,129.2767163,35.84346684
월정사 성보박물관,강원,평창군,2.0,30.0,3.8,0.0,0.2,3.6,강원 평창군 진부면 오대산로 176,,128.6028917,37.71884566
